tau_hours,origin,target_time,recomputed_m,saved_m,abs_difference_m
12,2026-07-22T11:00:00-03:00,2026-07-22T21:00:00-03:00,24.8833523105569,24.8833523105569,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T22:00:00-03:00,25.181856165978292,25.181856165978292,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T23:00:00-03:00,25.464740743691543,25.464740743691543,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T10:00:00-03:00,8.793759876865026,8.793759876865026,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T11:00:00-03:00,9.005882287286262,9.005882287286262,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T12:00:00-03:00,9.187801240004607,9.187801240004607,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T13:00:00-03:00,9.353402482923423,9.353402482923423,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T14:00:00-03:00,9.48154210861937,9.48154210861937,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T15:00:00-03:00,9.562113468786995,9.562113468786993,1.7763568394002505e-15
12,2026-08-13T09:00:00-03:00,2026-08-13T16:00:00-03:00,9.619046846526489,9.619046846526489,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T17:00:00-03:00,9.6420279398875,9.6420279398875,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T18:00:00-03:00,9.64034905321954,9.64034905321954,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T19:00:00-03:00,9.647206179376703,9.647206179376703,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T20:00:00-03:00,9.685244552479544,9.685244552479544,0.0
12,2026-08-13T09:00:00-03:00,2026-08-13T21:00:00-03:00,9.750101773524426,9.750101773524426,0.0
