phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,2,combined_training,Baixo Antas,4861,43749,3918,24247,414,29166,0,2661,0.1512373554913295,0.9030437138728323,0.994084176300578
validation,2,combined_training,Carreiro,4861,43749,4123,19809,414,29166,0,2720,0.046801872074883,0.9637285491419656,0.999561232449298
validation,2,combined_training,Prata-Turvo,4861,43749,34,22684,0,29166,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,2,combined_training,Alto Antas,4861,43749,43,21234,0,29166,0,33,0.0992246513654852,0.9493480252114405,0.9991401155658854
validation,2,combined_training,Tainhas,4861,43749,38,26928,0,29166,0,30,0.11402834699453551,1.0,1.0
validation,2,evaluation_high_full_schedule,Baixo Antas,28,252,0,36,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,2,evaluation_high_full_schedule,Carreiro,28,252,0,24,0,168,0,0,0.891185647425897,0.9389625585023402,0.9763146775871034
validation,2,evaluation_high_full_schedule,Prata-Turvo,28,252,0,29,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
validation,2,evaluation_high_full_schedule,Alto Antas,28,252,0,9,0,168,0,0,0.8370036800309897,0.9794325811866487,0.9965604622635418
validation,2,evaluation_high_full_schedule,Tainhas,28,252,0,9,0,168,0,0,1.0,1.0,1.0
validation,3,original_training,Baixo Antas,4358,39222,158,24066,0,26148,0,150,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,3,original_training,Carreiro,4358,39222,388,19610,0,26148,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,3,original_training,Prata-Turvo,4358,39222,34,21097,0,26148,0,26,0.13350657427149967,0.998376791637053,1.0
validation,3,original_training,Alto Antas,4358,39222,41,19949,0,26148,0,31,0.0992246513654852,0.9562328507327781,0.9991401155658854
validation,3,original_training,Tainhas,4358,39222,38,24772,0,26148,0,30,0.11402834699453551,1.0,1.0
validation,3,added2023_training,Baixo Antas,499,4491,3746,177,413,2994,0,2502,0.28901734104046245,0.32947976878612717,0.7802113439306358
