phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,6,level_ge_7m,profile_B_control,complete,145,5,140,140,0,104,51.158797154612884,0.3654199796758063,-0.004705874718153177,1.8975103512923575
test,A,6,level_ge_7m,profile_B_control,partial,15,0,15,15,0,15,2.8895726365253083,0.19263817576835388,0.1297761871889828,0.4123253350457494
test,A,6,level_ge_7m,profile_B_control,fully_missing,100,18,82,81,1,39,90.05846933322925,1.1118329547312253,-0.5051391274420347,6.489096647827269
test,A,6,level_ge_7m,mixed_profile_candidate,complete,145,5,140,140,0,113,50.29126789507218,0.35922334210765844,-0.0051181668022032755,2.0722353433277156
test,A,6,level_ge_7m,mixed_profile_candidate,partial,15,0,15,15,0,15,3.0472724979504866,0.20315149986336578,0.12498682254663786,0.4137889663130663
test,A,6,level_ge_7m,mixed_profile_candidate,fully_missing,100,18,82,81,1,42,88.75960426036238,1.0957975834612639,-0.5199531958213657,6.299646491687942
test,A,6,level_ge_7m,carreiro_missing_exposure,complete,145,5,140,140,0,102,55.479530022159736,0.396282357301141,-0.012380536624054335,2.00042083909587
test,A,6,level_ge_7m,carreiro_missing_exposure,partial,15,0,15,15,0,15,3.072082091697551,0.2048054727798367,0.13566747278505437,0.4936395893259471
test,A,6,level_ge_7m,carreiro_missing_exposure,fully_missing,100,18,82,81,1,41,82.74880493833052,1.0215901844238335,-0.3987278913254108,5.969048752400869
test,A,7,all,profile_A_control,complete,1401,5,1396,1391,5,1249,303.5724765153859,0.21824045759553265,-0.008725749371973448,1.9640652453513532
test,A,7,all,profile_A_control,partial,16,0,16,16,0,14,4.5364668480285335,0.28352917800178334,0.25012034787439086,0.9254524434262841
test,A,7,all,profile_A_control,fully_missing,544,18,526,518,8,441,177.20126059546237,0.34208737566691577,-0.0226891231845349,5.0700479704763755
test,A,7,all,profile_B_control,complete,1401,5,1396,1391,5,1251,309.1629309966809,0.22225947591422066,-0.03776972244672149,2.3315547566318564
test,A,7,all,profile_B_control,partial,16,0,16,16,0,13,4.884508261989696,0.305281766374356,0.21798055529587723,0.657854263564948
test,A,7,all,profile_B_control,fully_missing,544,18,526,518,8,429,182.85854857337168,0.35300878102967503,-0.02126413557156098,5.056457293860946
test,A,7,all,mixed_profile_candidate,complete,1401,5,1396,1391,5,1243,306.14764384592513,0.22009176408765285,-0.02672082933346431,1.9245721963743492
test,A,7,all,mixed_profile_candidate,partial,16,0,16,16,0,13,4.271221232997593,0.2669513270623496,0.20602096063183406,0.6786146967264344
test,A,7,all,mixed_profile_candidate,fully_missing,544,18,526,518,8,434,180.0279028884654,0.34754421407039654,-0.020105659163305742,5.194583557487675
test,A,7,all,carreiro_missing_exposure,complete,1401,5,1396,1391,5,1250,307.03808055925595,0.2207319055062947,-0.025721135372823334,2.2096477488404638
test,A,7,all,carreiro_missing_exposure,partial,16,0,16,16,0,14,4.270512054064231,0.26690700337901446,0.2111725218176696,0.6623873263063782
test,A,7,all,carreiro_missing_exposure,fully_missing,544,18,526,518,8,437,174.36255456587173,0.3366072481966636,-0.008514096311301393,4.9522024061965535
test,A,7,level_ge_7m,profile_A_control,complete,145,5,140,140,0,97,60.921768553578715,0.4351554896684194,0.042632043940265235,1.9640652453513532
test,A,7,level_ge_7m,profile_A_control,partial,14,0,14,14,0,12,4.28947511971655,0.30639107997975357,0.3034940924501598,0.9254524434262841
test,A,7,level_ge_7m,profile_A_control,fully_missing,101,18,83,82,1,36,88.35093746548512,1.07745045689616,-0.21605480072861513,5.0700479704763755
test,A,7,level_ge_7m,profile_B_control,complete,145,5,140,140,0,92,63.79305193832978,0.45566465670235556,-0.009646965195414386,2.3315547566318564
test,A,7,level_ge_7m,profile_B_control,partial,14,0,14,14,0,11,4.5002019399062885,0.32144299570759205,0.27657108620124593,0.657854263564948
test,A,7,level_ge_7m,profile_B_control,fully_missing,101,18,83,82,1,33,88.8289673531734,1.0832800896728463,-0.18951682207615955,5.056457293860946
test,A,7,level_ge_7m,mixed_profile_candidate,complete,145,5,140,140,0,86,63.89431557633194,0.456387968402371,-0.026827741643638537,1.9245721963743492
test,A,7,level_ge_7m,mixed_profile_candidate,partial,14,0,14,14,0,11,3.873461105882007,0.2766757932772862,0.2638639640874951,0.6786146967264344
test,A,7,level_ge_7m,mixed_profile_candidate,fully_missing,101,18,83,82,1,33,90.70247789651032,1.1061277792257356,-0.2399639750160307,5.194583557487675
test,A,7,level_ge_7m,carreiro_missing_exposure,complete,145,5,140,140,0,90,66.52497393367133,0.47517838524050954,-0.007662871878501904,2.2096477488404638
test,A,7,level_ge_7m,carreiro_missing_exposure,partial,14,0,14,14,0,12,3.932245489470347,0.28087467781931047,0.26550192240547127,0.6623873263063782
