role,period,horizon_h,population,subset,family,observed_targets,pairs,failures,raw_hits,normalized_hits,hits_delta,raw_mae_m,normalized_mae_m,mae_m_delta,raw_bias_m,normalized_bias_m,bias_m_delta,raw_p98_abs_m,normalized_p98_abs_m,p98_abs_m_delta,raw_max_abs_m,normalized_max_abs_m,max_abs_m_delta
original_2025_2026,validation,6,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,6,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,7,full_schedule,all,original,6511,6471,40,6159,6167,8,0.13672023312714657,0.13569978282411607,-0.0010204503030304957,0.05841799343365365,0.05592969881248113,-0.002488294621172518,0.6608837932413701,0.6530519302547255,-0.007831862986644622,2.794810940153507,2.7603854994577866,-0.03442544069572051
original_2025_2026,validation,7,full_schedule,all,plus2020,6511,6471,40,6196,6193,-3,0.1366269888266911,0.13642140543589937,-0.00020558339079174148,0.0434972837493189,0.04246687733891106,-0.0010304064104078442,0.7304435345361106,0.7196577693953801,-0.010785765140730486,2.808859380844501,2.9570158059859573,0.14815642514145644
original_2025_2026,validation,7,full_schedule,level_ge_7m,original,28,28,0,18,18,0,0.4275016599210431,0.4299736227075268,0.0024719627864837057,0.3297182360213466,0.3303078318202794,0.0005895957989328071,1.6964790563889107,1.672602345406892,-0.023876710982018823,2.6556568259868305,2.604009097325245,-0.05164772866158529
original_2025_2026,validation,7,full_schedule,level_ge_7m,plus2020,28,28,0,22,21,-1,0.36599592967606104,0.3881963676912018,0.022200438015140767,0.25358335707278684,0.2961891240252173,0.04260576695243046,1.3091012889627618,1.360039988735543,0.050938699772781204,1.6104075559087958,1.6027113082585442,-0.007696247650251564
original_2025_2026,validation,7,complete24,all,original,5884,5884,0,5660,5665,5,0.12632267706871253,0.12540713419508065,-0.0009155428736318805,0.05400033590109299,0.05173726432231731,-0.0022630715787756786,0.5943925194522182,0.597827091928677,0.0034345724764588415,2.794810940153507,2.7603854994577866,-0.03442544069572051
original_2025_2026,validation,7,complete24,all,plus2020,5884,5884,0,5693,5688,-5,0.12353747765661952,0.1234671146672953,-7.036298932421026e-05,0.04855958046045547,0.04659823472976188,-0.001961345730693592,0.6098035130276916,0.6158869922096056,0.006083479181913987,2.808859380844501,2.9570158059859573,0.14815642514145644
original_2025_2026,validation,7,complete24,level_ge_7m,original,28,28,0,18,18,0,0.4275016599210431,0.4299736227075268,0.0024719627864837057,0.3297182360213466,0.3303078318202794,0.0005895957989328071,1.6964790563889107,1.672602345406892,-0.023876710982018823,2.6556568259868305,2.604009097325245,-0.05164772866158529
original_2025_2026,validation,7,complete24,level_ge_7m,plus2020,28,28,0,22,21,-1,0.36599592967606104,0.3881963676912018,0.022200438015140767,0.25358335707278684,0.2961891240252173,0.04260576695243046,1.3091012889627618,1.360039988735543,0.050938699772781204,1.6104075559087958,1.6027113082585442,-0.007696247650251564
original_2025_2026,validation,7,missing24,all,original,627,587,40,499,502,3,0.24094377630913266,0.23887174966098904,-0.0020720266481436267,0.10269993026770294,0.09795403363381662,-0.004745896633886318,1.0498734597155641,1.0469901804987725,-0.0028832792167916566,1.61686335511456,1.5994599485309728,-0.017403406583587078
original_2025_2026,validation,7,missing24,all,plus2020,627,587,40,503,505,2,0.26783428648376295,0.26627327406020296,-0.0015610124235599931,-0.007246419569808257,0.001054770204726724,0.00830118977453498,1.4060305787951102,1.4810349860824081,0.07500440728729796,1.9099303063501614,1.9503543281725464,0.040424021822385026
original_2025_2026,validation,7,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
